kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60
16.3;0000-2400;;IND;VTX1 Indian Navy;;SAs;v;1;;
16.4;0000-2400;;NOR;JXN Noviken Sub comms;;NAO;no;1;;[0923]
17;0000-2400;;IND;VTX2 Indian Navy;;SAs;v;1;;
